Date,Net_Sales,Orders,Guests,holiday,is_gameday,is_pride_festival,is_arnold,Average Temp (°F),Average Humidity (%),Common Weather Description
6/10/2021,2665.3,58,120,,No,No,No,75.33,85.82,light rain
6/11/2021,2828.68,71,162,,No,No,No,78.29,81,light rain
6/12/2021,3641.75,80,168,,No,No,No,81.15,72.09,broken clouds
6/15/2021,2021.7,63,114,,No,No,No,72.39,59.82,sky is clear
6/16/2021,1654.5,45,84,,No,No,No,68.66,46,sky is clear
6/17/2021,2313.64,59,119,,No,No,No,73.2,49.09,sky is clear
6/18/2021,4433.57,112,219,,No,Pride Festival,No,71.33,75.73,sky is clear
6/19/2021,3018.2,72,148,,No,Pride Festival,No,73.48,78.91,moderate rain
6/22/2021,1869.85,57,112,,No,No,No,64.16,55.91,sky is clear
6/23/2021,2062.37,50,119,,No,No,No,69.27,53.18,sky is clear
6/24/2021,1590.25,51,97,,No,No,No,76.01,59.18,scattered clouds
6/25/2021,3555.92,91,185,,No,No,No,76.08,72.18,light rain
6/26/2021,4218.35,89,209,,No,No,No,81.02,66.18,broken clouds
6/28/2021,1136.5,36,60,,No,No,No,83.06,70.64,sky is clear
6/29/2021,2188.04,62,118,,No,No,No,86.72,67.64,sky is clear
6/30/2021,3206.76,81,166,,No,No,No,78.58,82,light rain
7/1/2021,2904.58,77,164,,No,No,No,71.17,92.91,light rain
7/2/2021,3046.2,87,169,,No,No,No,68.86,65.82,broken clouds
7/3/2021,2828.74,64,137,,No,No,No,71.73,64.36,scattered clouds
7/5/2021,3721.98,82,200,,No,No,No,83.6,66.27,sky is clear
7/6/2021,1816.58,56,114,,No,No,No,84.69,68.73,sky is clear
7/7/2021,1597,43,80,,No,No,No,83.94,67.36,sky is clear
7/8/2021,2704.45,69,139,,No,No,No,77.93,81.08,light rain
7/9/2021,3705.65,93,198,,No,No,No,69.94,80.09,overcast clouds
7/10/2021,3681.2,84,196,,No,No,No,70.99,74.82,sky is clear
7/12/2021,1191.8,38,66,,No,No,No,78.61,80.64,light rain
7/13/2021,2062.35,57,114,,No,No,No,76.11,84.73,light rain
7/14/2021,2384.44,68,140,,No,No,No,78.1,78.27,overcast clouds
7/15/2021,2519.06,60,120,,No,No,No,81.26,74.45,sky is clear
7/16/2021,4283.71,84,202,,No,No,No,78.87,81.25,light rain
7/17/2021,4914.75,105,250,,No,No,No,75.13,86,light rain
7/19/2021,2092,56,106,,No,No,No,77.97,65.27,sky is clear
7/20/2021,2187.57,59,123,,No,No,No,78.7,73.36,scattered clouds
7/21/2021,2412.95,68,122,,No,No,No,73.7,71.73,broken clouds
7/22/2021,1645.03,53,102,,No,No,No,72.39,61.09,sky is clear
7/23/2021,3660.75,89,191,,No,No,No,74.4,64.09,sky is clear
7/24/2021,3085.25,72,164,,No,No,No,78.51,67.73,sky is clear
7/26/2021,1673.23,45,84,,No,No,No,82.78,60.36,sky is clear
7/27/2021,2405.4,63,133,,No,No,No,80.51,60.18,sky is clear
7/28/2021,2210.8,60,118,,No,No,No,80.5,69.45,scattered clouds
7/29/2021,2773.01,70,139,,No,No,No,77.18,87.25,mist
7/30/2021,3344.35,84,174,,No,No,No,76.56,67.82,broken clouds
7/31/2021,4021.99,93,190,,No,No,No,73.28,65.27,sky is clear
8/2/2021,2048.55,56,108,,No,No,No,71.02,67.27,scattered clouds
8/3/2021,2078.86,58,116,,No,No,No,73.46,59.45,sky is clear
8/4/2021,2205.35,56,106,,No,No,No,75.71,53.09,broken clouds
8/5/2021,2793.17,64,139,,No,No,No,78.12,59.18,sky is clear
8/6/2021,2790.35,72,144,,No,No,No,79.11,67.27,sky is clear
8/7/2021,3611.05,84,184,,No,No,No,78.86,70.73,sky is clear
8/9/2021,2370.95,63,129,,No,No,No,79.03,77.18,sky is clear
8/10/2021,2514.71,74,147,,No,No,No,81.22,78.55,light rain
8/11/2021,2146.8,51,120,,No,No,No,84.05,77.64,moderate rain
8/12/2021,2298.63,64,130,,No,No,No,85.53,73.91,sky is clear
8/13/2021,4397.96,100,213,,No,No,No,79.97,80.73,light rain
8/14/2021,3601.1,84,183,,No,No,No,77.08,68.82,overcast clouds
8/16/2021,2380.1,63,133,,No,No,No,71.78,92,light rain
8/17/2021,2685.35,74,140,,No,No,No,73.27,94.91,light rain
8/18/2021,2104.59,64,108,,No,No,No,78.32,79.91,light rain
8/19/2021,2906.35,55,112,,No,No,No,77.11,84.91,scattered clouds
8/20/2021,3250,82,158,,No,No,No,79.08,71.91,sky is clear
8/21/2021,4214.47,83,203,,No,No,No,79.59,71.64,sky is clear
8/23/2021,883.25,28,45,,No,No,No,83.16,72,scattered clouds
8/24/2021,2076.61,66,124,,No,No,No,83.3,69.27,sky is clear
8/25/2021,1470.15,45,77,,No,No,No,79.08,83.36,scattered clouds
8/26/2021,2234.73,65,137,,No,No,No,79.07,82.83,scattered clouds
8/27/2021,3792.03,88,182,,No,No,No,82.47,73.64,sky is clear
8/28/2021,5076.6,112,239,,No,No,No,80.99,77.27,sky is clear
8/30/2021,1223.24,40,66,,No,No,No,77.21,82.45,light rain
8/31/2021,2074.39,63,106,,No,No,No,73.89,88.82,light rain
9/1/2021,1834.95,51,88,,No,No,No,73.07,74.18,broken clouds
9/2/2021,2462.2,59,107,,No,No,No,70.78,65.82,scattered clouds
9/3/2021,3883.09,91,177,,Ohio State Football Gameday,No,No,68.7,60,sky is clear
9/4/2021,3818.01,84,192,,No,No,No,72.95,67.64,overcast clouds
9/7/2021,2200.22,72,131,,No,No,No,76.57,66.18,sky is clear
9/8/2021,2338.92,63,118,,No,No,No,73.81,68.91,light rain
9/9/2021,1936.71,69,114,,No,No,No,68.35,62.82,scattered clouds
9/10/2021,2859.34,75,133,,No,No,No,67.64,65.64,sky is clear
9/11/2021,4121.84,91,210,,Ohio State Football Gameday,No,No,70.08,69.18,sky is clear
9/14/2021,1736.5,60,109,,No,No,No,80.92,70.45,sky is clear
9/15/2021,2413.55,64,131,,No,No,No,69.65,90.73,light rain
9/16/2021,2174.47,63,119,,No,No,No,73.03,77.09,broken clouds
9/17/2021,3941.8,88,176,,No,No,No,78.26,74.82,scattered clouds
9/18/2021,3595.99,81,168,,Ohio State Football Gameday,No,No,80.04,66.27,sky is clear
9/21/2021,1879.8,58,93,,No,No,No,69.3,91.91,light rain
9/22/2021,1804.05,53,90,,No,No,No,60.6,95.42,light rain
9/23/2021,2315.37,63,121,,No,No,No,55.76,71.36,overcast clouds
9/24/2021,3643.79,90,190,,No,No,No,64.03,58.09,sky is clear
9/25/2021,3933.41,89,191,,Ohio State Football Gameday,No,No,61.78,73,light rain
9/28/2021,2045.45,71,112,,No,No,No,72.37,75.36,sky is clear
9/29/2021,1958.15,67,120,,No,No,No,66.55,59.91,sky is clear
9/30/2021,1927.35,60,99,,No,No,No,66.22,61.18,sky is clear
10/1/2021,3084.2,80,152,,No,No,No,65.44,64.45,sky is clear
10/2/2021,3566.85,87,186,,Ohio State Football Gameday,No,No,66.88,72.18,sky is clear
10/5/2021,1644.45,58,95,,No,No,No,70.16,81.92,fog
10/6/2021,2282,61,117,,No,No,No,72.43,80.82,scattered clouds
10/7/2021,2368.36,45,122,,No,No,No,70.62,87.82,light rain
10/8/2021,4369.5,98,206,,No,No,No,70.38,84.36,overcast clouds
10/9/2021,3796.5,82,177,,Ohio State Football Gameday,No,No,69.52,82.92,fog
10/12/2021,1438.77,50,87,,No,No,No,73.51,70.91,broken clouds
10/13/2021,1613,50,82,,No,No,No,66.56,76,sky is clear
10/14/2021,2519.99,58,118,,No,No,No,75.89,74.91,broken clouds
10/15/2021,4287.75,94,194,,No,No,No,73.73,81.27,light rain
10/16/2021,4254.4,98,190,,No,No,No,57.48,72.18,overcast clouds
10/18/2021,5810.85,130,245,,No,No,No,58.27,60.73,sky is clear
10/19/2021,2506.15,71,124,,No,No,No,60.61,63.36,sky is clear
10/20/2021,1894.72,57,107,,No,No,No,61.44,69.91,sky is clear
10/21/2021,2874.85,64,133,,No,No,No,62.42,86.55,moderate rain
10/22/2021,4198.09,103,188,,No,No,No,51.98,85.91,overcast clouds
10/23/2021,4088.8,94,199,,Ohio State Football Gameday,No,No,52.98,79.27,overcast clouds
10/26/2021,2138.6,62,129,,No,No,No,50.27,71.91,overcast clouds
10/27/2021,2131.5,65,102,,No,No,No,47.85,82.36,overcast clouds
10/28/2021,1471.1,44,81,,No,No,No,58.1,76.91,sky is clear
10/29/2021,4693.55,111,213,,No,No,No,56.35,95.82,moderate rain
10/30/2021,4099.35,90,191,,Ohio State Football Gameday,No,No,55.27,93.42,overcast clouds
11/2/2021,2120.87,56,115,,No,No,No,44.13,59.27,overcast clouds
11/3/2021,2515.48,64,128,,No,No,No,40.88,68,sky is clear
11/4/2021,2620.8,70,135,,No,No,No,41.63,64.36,sky is clear
11/5/2021,4203.89,81,213,,No,No,No,41.66,68,sky is clear
11/6/2021,6020,122,280,,Ohio State Football Gameday,No,No,45.05,64.91,sky is clear
11/9/2021,1901.39,65,107,,No,No,No,55.24,66.91,sky is clear
11/10/2021,2289.2,63,121,,No,No,No,53.7,81.55,sky is clear
11/11/2021,2396.75,71,127,Veterans Day,No,No,No,61.12,63.82,sky is clear
11/12/2021,4298.74,110,203,,No,No,No,48.6,72.82,sky is clear
11/13/2021,5029.84,104,288,,Ohio State Football Gameday,No,No,37.39,81.18,overcast clouds
11/16/2021,2224.03,65,123,,No,No,No,45.42,68.91,sky is clear
11/17/2021,2491,65,127,,No,No,No,63.06,75.64,overcast clouds
11/18/2021,2416.4,64,135,,No,No,No,43.48,75.09,sky is clear
11/19/2021,4138.48,101,222,,No,No,No,34.81,67.18,overcast clouds
11/20/2021,3653.06,92,179,,Ohio State Football Gameday,No,No,38.53,68.91,sky is clear
11/22/2021,1533.9,46,73,,No,No,No,35.45,65.18,sky is clear
11/23/2021,3344.2,95,167,,No,No,No,31.7,67.91,sky is clear
11/24/2021,3239.78,73,157,,No,No,No,39.01,59.64,sky is clear
11/26/2021,3700.44,71,197,,No,No,No,31.41,69.73,overcast clouds
11/27/2021,3775.1,75,183,,Ohio State Football Gameday,No,No,32.37,68.73,overcast clouds
11/29/2021,1710.25,46,88,,No,No,No,33.48,68.36,sky is clear
11/30/2021,1844.67,50,83,,No,No,No,43.63,63,sky is clear
12/1/2021,1876.62,53,88,,No,No,No,37.03,91.27,light rain
12/2/2021,2142.55,62,106,,No,No,No,53.09,81.18,broken clouds
12/3/2021,4018.45,104,201,,No,No,No,45.49,68.64,sky is clear
12/4/2021,4673.99,105,255,,No,No,No,42.44,73.55,sky is clear
12/6/2021,1741.01,51,98,,No,No,No,43.43,80.91,scattered clouds
12/7/2021,1892.05,64,105,,No,No,No,23.9,63.64,sky is clear
12/8/2021,2396.69,60,116,,No,No,No,29.65,83.36,overcast clouds
12/9/2021,1661.4,58,95,,No,No,No,33.19,79.91,sky is clear
12/10/2021,5177.44,106,246,,No,No,No,51.18,78.36,overcast clouds
12/11/2021,4999.71,123,252,,No,No,No,55.21,81.73,moderate rain
12/13/2021,1838.76,52,96,,No,No,No,40.57,65.18,sky is clear
12/14/2021,2314.5,71,137,,No,No,No,42.86,68.36,sky is clear
12/15/2021,2327.26,80,149,,No,No,No,53.25,53.18,overcast clouds
12/16/2021,2843.9,78,146,,No,No,No,59.58,80.17,overcast clouds
12/17/2021,3914.68,108,205,,No,No,No,38.31,75.09,sky is clear
12/18/2021,4317.43,101,205,,No,No,No,45.75,97.5,moderate rain
12/20/2021,2500.03,70,149,,No,No,No,33.79,77.45,sky is clear
12/21/2021,3488.91,72,181,,No,No,No,33.72,81.82,sky is clear
12/22/2021,2858.9,71,152,,No,No,No,31.08,67.36,broken clouds
12/23/2021,2703.4,64,134,,No,No,No,33.18,63.55,sky is clear
12/24/2021,1135.83,20,229,Christmas Eve,No,No,No,51.57,55.18,overcast clouds
12/27/2021,3782.5,82,228,,No,No,No,52.94,92.09,light rain
12/28/2021,2827.5,76,157,,No,No,No,42.65,83.45,light rain
12/29/2021,3814.45,88,205,,No,No,No,45.79,95.09,mist
12/30/2021,3382.41,90,190,,No,No,No,44.48,95.75,mist
12/31/2021,4100.66,94,178,New Year's Eve,No,No,No,48.54,94.27,broken clouds
1/4/2022,2091.7,65,118,,No,No,No,31.43,72.45,sky is clear
1/5/2022,1183.78,36,63,,No,No,No,43.27,67.27,sky is clear
1/6/2022,849.3,36,54,,No,No,No,18.18,72.82,sky is clear
1/7/2022,2851.42,75,137,,No,No,No,15.38,77.09,overcast clouds
1/8/2022,4210.87,100,206,,No,No,No,23.06,67,sky is clear
1/11/2022,1683.97,53,95,,No,No,No,19.66,67.45,sky is clear
1/12/2022,1934.1,61,105,,No,No,No,38.85,58.91,sky is clear
1/13/2022,1911.07,62,102,,No,No,No,38.61,73.73,overcast clouds
1/14/2022,4179.01,94,187,,No,No,No,32.72,82,overcast clouds
1/15/2022,4936.69,94,199,,No,No,No,27.12,68.55,overcast clouds
1/18/2022,1206.5,39,71,,No,No,No,28.66,76,overcast clouds
1/19/2022,1705.33,53,99,,No,No,No,41.84,75.27,sky is clear
1/20/2022,1753.5,53,91,,No,No,No,22.42,65.09,overcast clouds
1/21/2022,3885.13,91,193,,No,No,No,17.56,72.82,sky is clear
1/22/2022,4113.24,89,197,,No,No,No,18.5,71.27,sky is clear
1/25/2022,1705.15,53,99,,No,No,No,22.88,78.09,overcast clouds
1/26/2022,1969.24,61,114,,No,No,No,10.47,73.55,sky is clear
1/27/2022,2088.14,56,110,,No,No,No,17.46,70.73,overcast clouds
1/28/2022,3818.23,86,151,,No,No,No,26.36,85.73,overcast clouds
1/29/2022,5454.77,112,278,,No,No,No,11.52,76.09,sky is clear
2/1/2022,2601.54,67,145,,No,No,No,36.76,64.45,sky is clear
2/2/2022,1198.95,39,60,,No,No,No,39.71,81.18,light rain
2/5/2022,4226.55,91,208,,No,No,No,17.34,83.55,sky is clear
2/8/2022,2139.99,62,121,,No,No,No,23.01,74.73,sky is clear
2/9/2022,1681.5,51,103,,No,No,No,42.02,63.36,sky is clear
2/10/2022,2419.98,64,127,,No,No,No,37.11,69.64,overcast clouds
2/11/2022,4674.54,97,201,,No,No,No,43.17,60.45,overcast clouds
2/12/2022,6516.11,120,298,,No,No,No,31.78,78.18,overcast clouds
2/14/2022,1849.87,52,94,Valentine's Day,No,No,No,18.31,73.91,overcast clouds
2/15/2022,1567.45,52,90,,No,No,No,28.71,64.45,sky is clear
2/16/2022,1661.61,48,102,,No,No,No,51.08,52.36,sky is clear
2/17/2022,1506.3,42,80,,No,No,No,52,90.64,moderate rain
2/18/2022,4432.57,100,215,,No,No,No,25.82,74,light snow
2/19/2022,5079.34,102,245,,No,No,No,27.36,58.27,scattered clouds
2/22/2022,2632.15,60,124,,No,No,No,53.59,96,light rain
2/23/2022,1729.65,48,89,,No,No,No,30.63,80.27,overcast clouds
2/24/2022,1273.51,43,85,,No,No,No,32.06,76.55,overcast clouds
2/25/2022,3724.72,88,166,,No,No,No,31.39,81,overcast clouds
