Date,Net_Sales,Orders,Guests,holiday,is_gameday,is_pride_festival,is_arnold,Average Temp (°F),Average Humidity (%),Common Weather Description
4/18/2023,2917.75,63,116,,No,No,No,47.58,57.27,sky is clear
4/19/2023,3365.71,67,134,,No,No,No,57.15,51,sky is clear
4/20/2023,3272.9,65,132,,No,No,No,72.9,43,sky is clear
4/21/2023,8570.44,143,319,,No,No,No,69.54,53.27,overcast clouds
4/22/2023,7816.37,138,334,,No,No,No,53.58,70.82,light rain
4/24/2023,1872.1,48,89,,No,No,No,44.08,58.91,overcast clouds
4/25/2023,3051.2,67,140,,No,No,No,48.28,54,scattered clouds
4/26/2023,2680.47,67,130,,No,No,No,51.43,64.27,scattered clouds
4/27/2023,5199.6,78,135,,No,No,No,55.05,48.55,sky is clear
4/28/2023,6046.98,117,258,,No,No,No,59.82,90.5,light rain
4/29/2023,8406.16,147,349,,No,No,No,59.06,74.18,overcast clouds
5/1/2023,2540.05,59,101,,No,No,No,43.22,85.91,light rain
5/2/2023,3637.98,79,144,,No,No,No,43.72,85.55,light rain
5/3/2023,3454.37,77,168,,No,No,No,45.7,80.55,overcast clouds
5/4/2023,3783.05,83,166,,No,No,No,54.01,69,overcast clouds
5/5/2023,18604.68,309,719,Cinco de Mayo,No,No,No,61,57.82,sky is clear
5/6/2023,9460.09,165,398,,No,No,No,66.48,48.73,sky is clear
5/8/2023,3456.89,59,115,,No,No,No,69.56,76.36,scattered clouds
5/9/2023,3396.24,66,146,,No,No,No,65.4,61.82,sky is clear
5/10/2023,5361.77,97,182,,No,No,No,64.53,47,sky is clear
5/11/2023,4538.3,85,168,,No,No,No,69.33,50.82,sky is clear
5/12/2023,6923.64,138,288,,No,No,No,70.59,70.18,overcast clouds
5/13/2023,10363.41,168,476,,No,No,No,68.84,87.18,overcast clouds
5/15/2023,3230.3,64,112,,No,No,No,64.54,48.55,sky is clear
5/16/2023,3248.1,75,145,,No,No,No,62.39,79.45,light rain
5/17/2023,3499.35,79,159,,No,No,No,61.32,56,sky is clear
5/18/2023,3789.63,67,142,,No,No,No,61.27,49.82,sky is clear
5/19/2023,5968.57,118,244,,No,No,No,72.41,62.18,broken clouds
5/20/2023,9764.15,165,398,,No,No,No,63.78,74.91,scattered clouds
5/22/2023,3391.2,70,127,,No,No,No,70.17,56.18,sky is clear
5/23/2023,3212.44,67,124,,No,No,No,72.46,55.27,scattered clouds
5/24/2023,3874.9,80,209,,No,No,No,71.9,56,scattered clouds
5/25/2023,4750.85,93,189,,No,No,No,60.35,45.91,sky is clear
5/26/2023,7518.77,127,275,,No,No,No,66.13,43.91,sky is clear
5/27/2023,6481.52,130,291,,No,No,No,68.63,42.18,sky is clear
5/30/2023,3334.14,59,122,,No,No,No,77.35,62.64,scattered clouds
5/31/2023,4784.7,87,194,,No,No,No,77.26,59.45,sky is clear
6/1/2023,4409.79,87,223,,No,No,No,78.7,43,sky is clear
6/2/2023,6758.51,125,272,,No,No,No,82.1,43.36,sky is clear
6/3/2023,7794.39,108,233,,No,No,No,83.06,45.36,sky is clear
6/5/2023,5331.72,73,145,,No,No,No,69.13,43,sky is clear
6/6/2023,3079.35,67,129,,No,No,No,72.3,51.27,sky is clear
6/7/2023,4809.18,87,213,,No,No,No,67.12,45.09,sky is clear
6/8/2023,5434.4,114,230,,No,No,No,65.96,44.55,sky is clear
6/9/2023,6919.69,118,300,,No,No,No,69.36,50.27,sky is clear
6/10/2023,7663.47,140,309,,No,No,No,73.98,44.55,sky is clear
6/12/2023,4005.05,70,141,,No,No,No,62.17,79.73,overcast clouds
6/13/2023,3569.36,70,162,,No,No,No,59.48,76.18,overcast clouds
6/14/2023,4598.55,102,213,,No,No,No,66.32,73,broken clouds
6/15/2023,5081.97,91,208,,No,No,No,70.26,70,sky is clear
6/16/2023,8736.81,153,334,,No,Pride Festival,No,64.32,80.82,overcast clouds
6/17/2023,8066.06,157,331,,No,Pride Festival,No,69.67,66.45,haze
6/19/2023,3615.22,84,170,,No,No,No,70.86,71.64,sky is clear
6/20/2023,3499.23,67,124,,No,No,No,68.74,87.73,light rain
6/21/2023,4365.43,94,197,,No,No,No,76.02,64.27,sky is clear
6/22/2023,4838.7,115,221,,No,No,No,67.01,74.55,overcast clouds
6/23/2023,7125.51,139,314,,No,No,No,68.94,89.18,overcast clouds
6/24/2023,8150.73,124,325,,No,No,No,75.96,74.45,overcast clouds
6/26/2023,3141.45,60,129,,No,No,No,75.04,69.27,overcast clouds
6/27/2023,3609.72,67,135,,No,No,No,67.36,82.45,haze
6/28/2023,3617.01,78,164,,No,No,No,72.06,73.45,haze
6/29/2023,6002.45,88,203,,No,No,No,77.85,65.82,haze
6/30/2023,6964.15,120,264,,No,No,No,78.83,72,overcast clouds
7/1/2023,7265.32,135,319,,No,No,No,77.05,80.27,light rain
7/3/2023,5019.34,103,201,,No,No,No,73.17,91,light rain
7/5/2023,3144.85,68,143,,No,No,No,83.13,65.55,sky is clear
7/6/2023,3733.71,82,160,,No,No,No,77.08,82.5,sky is clear
7/7/2023,7318.56,121,295,,No,No,No,78.32,73.18,scattered clouds
7/8/2023,11525.66,143,352,,No,No,No,74.83,79.27,sky is clear
7/10/2023,4677.5,102,200,,No,No,No,76.25,61.82,sky is clear
7/11/2023,4957.81,88,225,,No,No,No,78.75,63.64,sky is clear
7/12/2023,4004.77,79,153,,No,No,No,80.74,62,sky is clear
7/13/2023,4864.79,93,210,,No,No,No,82.6,66.73,scattered clouds
7/14/2023,8831.12,140,289,,No,No,No,80.33,69.64,scattered clouds
7/15/2023,7163.52,140,311,,No,No,No,74.35,86.09,sky is clear
7/17/2023,3481.1,67,123,,No,No,No,78.38,72.36,haze
7/18/2023,4358.58,85,181,,No,No,No,74.19,79.73,overcast clouds
7/19/2023,3982.69,86,198,,No,No,No,78.02,75.91,light rain
7/20/2023,3271.62,75,148,,No,No,No,80.6,76,scattered clouds
7/21/2023,7662.83,143,321,,No,No,No,73.25,76.27,overcast clouds
7/22/2023,7796.98,143,315,,No,No,No,74.91,64.36,sky is clear
7/24/2023,3445.45,74,162,,No,No,No,76.51,75.64,sky is clear
7/25/2023,5165.18,100,223,,No,No,No,75.67,80.64,overcast clouds
7/26/2023,4284.76,81,168,,No,No,No,82.26,72.09,sky is clear
7/27/2023,5030.6,102,202,,No,No,No,81.53,80.73,light rain
7/28/2023,7723.78,142,316,,No,No,No,75.46,85.55,broken clouds
7/29/2023,8850.31,163,406,,No,No,No,77.79,77.58,broken clouds
7/31/2023,3784.91,89,176,,No,No,No,73.87,62.91,sky is clear
8/1/2023,4917.71,107,219,,No,No,No,73.23,68,sky is clear
8/2/2023,4084.5,83,165,,No,No,No,73.87,71.73,sky is clear
8/3/2023,5007.9,97,208,,No,No,No,78.3,70.91,sky is clear
8/4/2023,7199.82,139,299,,No,No,No,79.82,67.18,sky is clear
8/5/2023,7904.6,149,327,,No,No,No,77.22,67.36,sky is clear
8/7/2023,3804.7,77,164,,No,No,No,73.34,88.09,light rain
8/8/2023,3943.42,81,174,,No,No,No,74.29,69.18,sky is clear
8/9/2023,4088.99,85,186,,No,No,No,74.89,75.82,broken clouds
8/10/2023,6514.3,120,288,,No,No,No,73.3,81,scattered clouds
8/11/2023,6360.45,118,257,,No,No,No,77.05,73.45,scattered clouds
8/12/2023,7183.65,137,310,,No,No,No,80.57,77.73,sky is clear
8/14/2023,2292.03,54,111,,No,No,No,72.47,90.55,moderate rain
8/15/2023,3709.85,72,158,,No,No,No,68.94,83.73,light rain
8/16/2023,7144.67,102,229,,No,No,No,72.42,74,overcast clouds
8/17/2023,5390.86,95,220,,No,No,No,73.57,75.64,scattered clouds
8/18/2023,7607.82,136,303,,No,No,No,69.26,66.82,sky is clear
